,date,adj_close,close,high,low,open,volume,symbol
2504,2024-12-13,593.57275390625,604.2100219726562,607.1300048828125,602.8099975585938,606.4000244140625,35904700,SPY
2505,2024-12-16,596.1073608398438,606.7899780273438,607.780029296875,605.2100219726562,606.0,43695200,SPY
2506,2024-12-17,593.6512451171875,604.2899780273438,605.1699829101562,602.8900146484375,604.1900024414062,55773500,SPY
2507,2024-12-18,575.9584350585938,586.280029296875,606.4099731445312,585.8900146484375,603.97998046875,108248700,SPY
2508,2024-12-19,575.7815551757812,586.0999755859375,593.0,585.8499755859375,591.3599853515625,85919500,SPY
2509,2024-12-20,582.697265625,591.1500244140625,595.75,580.9099731445312,581.77001953125,125716700,SPY
2510,2024-12-23,586.1866455078125,594.6900024414062,595.2999877929688,587.6599731445312,590.8900146484375,57635800,SPY
2511,2024-12-24,592.7020263671875,601.2999877929688,601.3400268554688,595.469970703125,596.0599975585938,33160100,SPY
2512,2024-12-26,592.7416381835938,601.3400268554688,602.47998046875,598.0800170898438,599.5,41219100,SPY
2513,2024-12-27,586.5020141601562,595.010009765625,597.780029296875,590.760009765625,597.5399780273438,64969300,SPY
2514,2024-12-30,579.8091430664062,588.219970703125,591.739990234375,584.4099731445312,587.8900146484375,56578800,SPY
2515,2024-12-31,577.6998291015625,586.0800170898438,590.6400146484375,584.4199829101562,589.9099731445312,57052700,SPY
2516,2025-01-02,576.2803344726562,584.6400146484375,591.1300048828125,580.5,589.3900146484375,50204000,SPY
2517,2025-01-03,583.48583984375,591.9500122070312,592.5999755859375,586.4299926757812,587.530029296875,37888500,SPY
2518,2025-01-06,586.8470458984375,595.3599853515625,599.7000122070312,593.5999755859375,596.27001953125,47679400,SPY
2519,2025-01-07,580.2132568359375,588.6300048828125,597.75,586.780029296875,597.4199829101562,60393100,SPY
2520,2025-01-08,581.0609741210938,589.489990234375,590.5800170898438,585.2000122070312,588.7000122070312,47304700,SPY
2521,2025-01-10,572.189697265625,580.489990234375,585.9500122070312,578.5499877929688,585.8800048828125,73105000,SPY
2522,2025-01-13,573.0768432617188,581.3900146484375,581.75,575.3499755859375,575.77001953125,47910100,SPY
2523,2025-01-14,573.8653564453125,582.1900024414062,585.0,578.3499755859375,584.3599853515625,48420600,SPY
2524,2025-01-15,584.3038940429688,592.780029296875,593.9400024414062,589.2000122070312,590.3300170898438,56900200,SPY
2525,2025-01-16,583.1802368164062,591.6400146484375,594.3499755859375,590.9299926757812,594.1699829101562,43319700,SPY
2526,2025-01-17,589.0353393554688,597.5800170898438,599.3599853515625,595.6099853515625,596.9600219726562,58070600,SPY
2527,2025-01-21,594.427001953125,603.0499877929688,603.0599975585938,598.6699829101562,600.6699829101562,42532900,SPY
2528,2025-01-22,597.7686767578125,606.4400024414062,607.8200073242188,605.3599853515625,605.9199829101562,48196000,SPY
2529,2025-01-23,601.0313110351562,609.75,609.75,605.52001953125,605.7999877929688,41152100,SPY
2530,2025-01-24,599.2767333984375,607.969970703125,610.780029296875,606.7999877929688,609.8099975585938,34604700,SPY
2531,2025-01-27,590.7997436523438,599.3699951171875,599.6900024414062,594.6400146484375,594.8099975585938,70361100,SPY
2532,2025-01-28,595.8760986328125,604.52001953125,605.3699951171875,597.25,600.6199951171875,44433300,SPY
2533,2025-01-29,593.204833984375,601.8099975585938,604.1300048828125,599.219970703125,603.719970703125,37177400,SPY
2534,2025-01-30,596.3886108398438,605.0399780273438,606.5999755859375,600.719970703125,603.9600219726562,39281300,SPY
2535,2025-01-31,593.2146606445312,601.8200073242188,609.9600219726562,601.0499877929688,607.5,66566900,SPY
2536,2025-02-03,589.2225341796875,597.77001953125,600.2899780273438,590.489990234375,592.6699829101562,65857200,SPY
2537,2025-02-04,593.17529296875,601.780029296875,602.2999877929688,597.280029296875,597.8300170898438,33457800,SPY
2538,2025-02-05,595.5802612304688,604.219970703125,604.3699951171875,598.5800170898438,600.6400146484375,30653100,SPY
2539,2025-02-06,597.650390625,606.3200073242188,606.4500122070312,602.6300048828125,605.989990234375,35771500,SPY
2540,2025-02-07,592.1797485351562,600.77001953125,608.1300048828125,600.0499877929688,606.8900146484375,50788500,SPY
2541,2025-02-10,596.2012939453125,604.8499755859375,605.5,602.739990234375,604.030029296875,26048700,SPY
2542,2025-02-11,596.65478515625,605.3099975585938,605.8599853515625,602.4299926757812,602.5499877929688,30056700,SPY
2543,2025-02-12,594.732666015625,603.3599853515625,604.5499877929688,598.510009765625,599.2000122070312,45076100,SPY
2544,2025-02-13,601.0115966796875,609.72998046875,609.9400024414062,603.2000122070312,604.47998046875,40921300,SPY
2545,2025-02-14,600.9820556640625,609.7000122070312,610.989990234375,609.0700073242188,609.9400024414062,26910400,SPY
2546,2025-02-18,602.7463989257812,611.489990234375,611.489990234375,608.3800048828125,610.8800048828125,26749000,SPY
2547,2025-02-19,604.1658325195312,612.9299926757812,613.22998046875,609.5599975585938,610.0800170898438,31011100,SPY
2548,2025-02-20,601.6522216796875,610.3800048828125,611.6799926757812,607.02001953125,611.5399780273438,36554000,SPY
2549,2025-02-21,591.3615112304688,599.9400024414062,610.2999877929688,599.469970703125,610.1599731445312,76519800,SPY
2550,2025-02-24,588.670654296875,597.2100219726562,603.030029296875,596.489990234375,602.02001953125,50737200,SPY
2551,2025-02-25,585.7430419921875,594.239990234375,597.8900146484375,589.5599975585938,597.1500244140625,58266500,SPY
2552,2025-02-26,586.0387573242188,594.5399780273438,599.5800170898438,591.8599853515625,595.9299926757812,43321600,SPY
2553,2025-02-27,576.6843872070312,585.0499877929688,598.02001953125,584.6500244140625,596.8499755859375,74196700,SPY
2554,2025-02-28,585.6838989257812,594.1799926757812,594.719970703125,582.4400024414062,585.5599975585938,88744100,SPY
2555,2025-03-03,575.4227905273438,583.77001953125,597.3400268554688,579.9000244140625,596.1799926757812,74249200,SPY
2556,2025-03-04,568.611572265625,576.8599853515625,585.3900146484375,572.25,579.7100219726562,109648200,SPY
2557,2025-03-05,574.7229614257812,583.0599975585938,584.8800048828125,573.0800170898438,576.6900024414062,71230500,SPY
2558,2025-03-06,564.5209350585938,572.7100219726562,580.1699829101562,570.1199951171875,575.47998046875,80094900,SPY
2559,2025-03-07,567.68505859375,575.9199829101562,577.3900146484375,565.6300048828125,570.9000244140625,81158800,SPY
2560,2025-03-10,552.5643920898438,560.5800170898438,569.5399780273438,555.5900268554688,567.5900268554688,99326600,SPY
2561,2025-03-11,547.9710083007812,555.9199829101562,564.02001953125,552.02001953125,559.4000244140625,88102100,SPY
2562,2025-03-12,550.8787231445312,558.8699951171875,563.1099853515625,553.6900024414062,562.1699829101562,69588200,SPY
2563,2025-03-13,543.5353393554688,551.4199829101562,559.1099853515625,549.6799926757812,558.489990234375,74079400,SPY
2564,2025-03-14,554.762451171875,562.8099975585938,563.8300170898438,551.489990234375,556.1099853515625,62660300,SPY
2565,2025-03-17,559.0404052734375,567.1500244140625,569.7100219726562,562.3499755859375,562.7899780273438,49008700,SPY
2566,2025-03-18,552.9981079101562,561.02001953125,565.02001953125,559.0599975585938,564.7999877929688,66041400,SPY
2567,2025-03-19,559.0206909179688,567.1300048828125,570.9500122070312,561.6300048828125,562.8300170898438,66556000,SPY
2568,2025-03-20,557.4041748046875,565.489990234375,570.5700073242188,562.5999755859375,563.3300170898438,62958200,SPY
2569,2025-03-21,557.5880126953125,563.97998046875,564.8900146484375,558.030029296875,559.280029296875,83763000,SPY
2570,2025-03-24,567.5736083984375,574.0800170898438,575.1500244140625,570.2000122070312,570.7999877929688,58766800,SPY
2571,2025-03-25,568.93798828125,575.4600219726562,576.4099731445312,573.6900024414062,575.2999877929688,38355700,SPY
2572,2025-03-26,562.1458740234375,568.5900268554688,576.3300170898438,567.1900024414062,575.1900024414062,51848300,SPY
2573,2025-03-27,560.6528930664062,567.0800170898438,570.9000244140625,564.9400024414062,567.1799926757812,42164200,SPY
2574,2025-03-28,549.3623657226562,555.6599731445312,566.27001953125,555.0700073242188,565.530029296875,71662700,SPY
2575,2025-03-31,553.050048828125,559.3900146484375,560.7100219726562,546.8699951171875,549.8300170898438,95328200,SPY
2576,2025-04-01,554.6121215820312,560.969970703125,562.9400024414062,553.6799926757812,557.4500122070312,54609600,SPY
2577,2025-04-02,558.1219482421875,564.52001953125,567.4199829101562,554.8099975585938,555.0499877929688,76014500,SPY
2578,2025-04-03,530.6172485351562,536.7000122070312,547.969970703125,536.7000122070312,545.1099853515625,125986000,SPY
2579,2025-04-04,499.5533447265625,505.2799987792969,525.8699951171875,505.05999755859375,523.6699829101562,217965100,SPY
2580,2025-04-07,498.6635437011719,504.3800048828125,523.1699829101562,481.79998779296875,489.19000244140625,256611400,SPY
2581,2025-04-08,490.8531188964844,496.4800109863281,524.97998046875,489.1600036621094,521.8599853515625,165816600,SPY
2582,2025-04-09,542.4022216796875,548.6199951171875,548.6199951171875,493.04998779296875,493.44000244140625,241867300,SPY
2583,2025-04-10,518.6345825195312,524.5800170898438,533.5,509.32000732421875,532.1699829101562,162331200,SPY
2584,2025-04-11,527.8885498046875,533.9400024414062,536.4299926757812,520.0700073242188,523.010009765625,97866300,SPY
2585,2025-04-14,533.009765625,539.1199951171875,544.280029296875,533.8599853515625,544.0499877929688,68034000,SPY
2586,2025-04-15,531.5169677734375,537.6099853515625,543.22998046875,536.8099975585938,539.6699829101562,56892900,SPY
2587,2025-04-16,519.7023315429688,525.6599731445312,537.8900146484375,520.2899780273438,531.6799926757812,83484800,SPY
2588,2025-04-17,520.44384765625,526.4099731445312,531.1699829101562,523.9099731445312,527.6400146484375,79868100,SPY
2589,2025-04-21,508.05584716796875,513.8800048828125,521.7000122070312,508.4599914550781,521.1599731445312,69368100,SPY
2590,2025-04-22,521.2743530273438,527.25,529.2999877929688,519.1900024414062,520.1400146484375,75948100,SPY
2591,2025-04-23,529.3517456054688,535.4199829101562,545.4299926757812,533.8800048828125,540.4299926757812,90590700,SPY
2592,2025-04-24,540.4939575195312,546.6900024414062,547.4299926757812,535.4500122070312,536.719970703125,64150400,SPY
2593,2025-04-25,544.3992919921875,550.6400146484375,551.0499877929688,543.6900024414062,546.6500244140625,61119600,SPY
2594,2025-04-28,544.6068725585938,550.8499755859375,553.5499877929688,545.02001953125,551.3900146484375,47613800,SPY
2595,2025-04-29,548.0375366210938,554.3200073242188,555.4500122070312,548.5499877929688,548.9099731445312,47775100,SPY
2596,2025-04-30,548.2550048828125,554.5399780273438,556.52001953125,541.52001953125,547.5700073242188,93101500,SPY
2597,2025-05-01,552.1405029296875,558.469970703125,564.0700073242188,557.8599853515625,560.3699951171875,63186100,SPY
2598,2025-05-02,560.3364868164062,566.760009765625,568.3800048828125,562.3800048828125,564.72998046875,60717300,SPY
2599,2025-05-05,557.1234130859375,563.510009765625,566.6500244140625,561.7000122070312,562.5700073242188,38659200,SPY
2600,2025-05-06,552.466796875,558.7999877929688,563.3499755859375,556.9600219726562,557.9299926757812,48264700,SPY
2601,2025-05-07,554.7901611328125,561.1500244140625,563.8200073242188,556.0399780273438,560.1500244140625,55588000,SPY
2602,2025-05-08,558.6558227539062,565.0599975585938,570.3099975585938,561.7000122070312,565.239990234375,65130800,SPY
2603,2025-05-09,557.9440307617188,564.3400268554688,567.5,562.760009765625,566.47998046875,37603400,SPY
